,mitre name,mitre alias,malpedia name,malpedia alias,attack techniques,technique name,attack software,malpedia techniques,malpedia software,normalized mitre software,normalized malpedia software,software union,software overlap,mitre software ids,software union canonical
G1001,hexane,"['lyceum', 'siamesekitten', 'spirlin']",lyceum,"['cobalt lyceum', 'hexane', 'unc1530', 'spirlin', 'mysticdome', 'siamesekitten', 'chrono kitten', 'storm-0133']","['T1010', 'T1102.002', 'T1110', 'T1027.010', 'T1555', 'T1555.003', 'T1583.002', 'T1583.001', 'T1586.002', 'T1585.002', 'T1589.002', 'T1567.002', 'T1589', 'T1591.004', 'T1105', 'T1534', 'T1016.001', 'T1056.001', 'T1069.001', 'T1204.002', 'T1110.003', 'T1059.001', 'T1057', 'T1021.001', 'T1018', 'T1053.005', 'T1585.001', 'T1518', 'T1082', 'T1016', 'T1049', 'T1033', 'T1588.002', 'T1608.001', 'T1059.005', 'T1546.003', 'T1562', 'T1071', 'T1055', 'T1059']","['Application Window Discovery', 'Bidirectional Communication', 'Brute Force', 'Command Obfuscation', 'Credentials from Password Stores', 'Credentials from Web Browsers', 'DNS Server', 'Domains', 'Email Accounts', 'Email Addresses', 'Exfiltration to Cloud Storage', 'Gather Victim Identity Information', 'Identify Roles', 'Ingress Tool Transfer', 'Internal Spearphishing', 'Internet Connection Discovery', 'Keylogging', 'Local Groups', 'Malicious File', 'Password Spraying', 'PowerShell', 'Process Discovery', 'Remote Desktop Protocol', 'Remote System Discovery', 'Scheduled Task', 'Social Media Accounts', 'Software Discovery', 'System Information Discovery', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'System Owner/User Discovery', 'Tool', 'Upload Malware', 'Visual Basic', 'Windows Management Instrumentation Event Subscription']","['S0190', 'S1014', 'S1021', 'S0363', 'S1020', 'S1015', 'S0002', 'S0097', 'S0378', 'S1019', 'S0100', 'S0104']","['T1010', 'T1018', 'T1055', 'T1057', 'T1059', 'T1071', 'T1518', 'T1562']","['win.lyceum_dns_backdoor_dotnet', 'win.lyceum_http_backdoor_dotnet', 'win.lyceum_http_backdoor_golang']","['bitsadmin', 'danbot', 'dnssystem', 'empire', 'ipconfig', 'kevin', 'milan', 'mimikatz', 'netstat', 'ping', 'poshc2', 'shark']","['lyceum dns backdoor dotnet', 'lyceum http backdoor dotnet', 'lyceum http backdoor golang']","['S0002', 'S0097', 'S0100', 'S0104', 'S0190', 'S0363', 'S0378', 'S1014', 'S1015', 'S1019', 'S1020', 'S1021', 'lyceum dns backdoor dotnet', 'lyceum http backdoor dotnet', 'lyceum http backdoor golang']",[],"['S0002', 'S0097', 'S0100', 'S0104', 'S0190', 'S0363', 'S0378', 'S1014', 'S1015', 'S1019', 'S1020', 'S1021']","['bitsadmin', 'danbot', 'dnssystem', 'empire', 'ipconfig', 'kevin', 'lyceum dns backdoor dotnet', 'lyceum http backdoor dotnet', 'lyceum http backdoor golang', 'milan', 'mimikatz', 'netstat', 'ping', 'poshc2', 'shark']"
G0129,mustang panda,"['bronze president', 'reddelta', 'ta416']",mustang panda,"['bronze president', 'honeymyte', 'red lich', 'hex', 'basin', 'earth preta', 'ta416', 'stately taurus', 'luminousmoth', 'polaris', 'tantalum', 'twill typhoon']","['T1560.003', 'T1560.001', 'T1119', 'T1027.001', 'T1574.002', 'T1583.001', 'T1036.007', 'T1585.002', 'T1052.001', 'T1203', 'T1070.004', 'T1083', 'T1564.001', 'T1105', 'T1218.004', 'T1074.001', 'T1204.002', 'T1204.001', 'T1036.005', 'T1218.005', 'T1003.003', 'T1027', 'T1059.001', 'T1057', 'T1547.001', 'T1219', 'T1091', 'T1053.005', 'T1518', 'T1566.001', 'T1566.002', 'T1598.003', 'T1608', 'T1573.001', 'T1082', 'T1016', 'T1049', 'T1608.001', 'T1059.005', 'T1071.001', 'T1102', 'T1059.003', 'T1047', 'T1546.003']","['Archive via Custom Method', 'Archive via Utility', 'Automated Collection', 'Binary Padding', 'DLL Side-Loading', 'Domains', 'Double File Extension', 'Email Accounts', 'Exfiltration over USB', 'Exploitation for Client Execution', 'File Deletion', 'File and Directory Discovery', 'Hidden Files and Directories', 'Ingress Tool Transfer', 'InstallUtil', 'Local Data Staging', 'Malicious File', 'Malicious Link', 'Match Legitimate Name or Location', 'Mshta', 'NTDS', 'Obfuscated Files or Information', 'PowerShell', 'Process Discovery', 'Registry Run Keys / Startup Folder', 'Remote Access Software', 'Replication Through Removable Media', 'Scheduled Task', 'Software Discovery', 'Spearphishing Attachment', 'Spearphishing Link', 'Stage Capabilities', 'Symmetric Cryptography', 'System Information Discovery', 'System Network Configuration Discovery', 'System Network Connections Discovery', 'Upload Malware', 'Visual Basic', 'Web Protocols', 'Web Service', 'Windows Command Shell', 'Windows Management Instrumentation', 'Windows Management Instrumentation Event Subscription']","['S0154', 'S0590', 'S0013', 'S0012', 'S0662']","['T1036.005', 'T1036.007', 'T1041', 'T1132.001', 'T1140', 'T1204', 'T1564.001', 'T1564.003', 'T1566.001', 'T1566.002', 'T1573.001', 'T1574.001', 'T1583.001', 'T1583.003']",[],"['cobalt strike', 'nbtscan', 'plugx', 'poisonivy', 'rcsession']",[],"['S0012', 'S0013', 'S0154', 'S0590', 'S0662']",[],"['S0012', 'S0013', 'S0154', 'S0590', 'S0662']","['cobalt strike', 'nbtscan', 'plugx', 'poisonivy', 'rcsession']"
G0073,apt19,"['c0d0so0', 'codoso', 'codoso', 'sunshop']",apt19,"['deep panda', 'codoso', 'webmasters', 'kungfu kittens', 'black vine', 'avengers', 'group 13', 'pinkpanther', 'shell crew', 'bronze firestone', 'g0009', 'g0073', 'pupa', 'sunshop']","['T1027.010', 'T1059', 'T1574.002', 'T1140', 'T1189', 'T1027.013', 'T1564.003', 'T1204.002', 'T1112', 'T1059.001', 'T1547.001', 'T1218.010', 'T1218.011', 'T1566.001', 'T1132.001', 'T1082', 'T1016', 'T1033', 'T1588.002', 'T1071.001', 'T1543.003']","['Command Obfuscation', 'Command and Scripting Interpreter', 'DLL Side-Loading', 'Deobfuscate/Decode Files or Information', 'Drive-by Compromise', 'Encrypted/Encoded File', 'Hidden Window', 'Malicious File', 'Modify Registry', 'PowerShell', 'Registry Run Keys / Startup Folder', 'Regsvr32', 'Rundll32', 'Spearphishing Attachment', 'Standard Encoding', 'System Information Discovery', 'System Network Configuration Discovery', 'System Owner/User Discovery', 'Tool', 'Web Protocols', 'Windows Service']","['S0154', 'S0363']","['T1014', 'T1027', 'T1036', 'T1041', 'T1059.001', 'T1059.003', 'T1082', 'T1083', 'T1113', 'T1190', 'T1569.002', 'T1574.002', 'T1588.003', 'T1592', 'T1620']","['win.cobalt_strike', 'win.firechili']","['cobalt strike', 'empire']","['S0154', 'firechili']","['S0154', 'S0363', 'firechili']",['S0154'],"['S0154', 'S0363']","['cobalt strike', 'empire', 'firechili']"
G0020,equation,[],equation,"['tilded', 'eqgrp', 'g0020']","['T1542.002', 'T1480.001', 'T1564.005', 'T1120']","['Component Firmware', 'Environmental Keying', 'Hidden File System', 'Peripheral Device Discovery']",[],"['T1120', 'T1480', 'T1542', 'T1564']","['elf.bvp47', 'elf.doublefantasy', 'win.darkpulsar', 'win.doublefantasy', 'win.doublepulsar', 'win.equationdrug', 'win.fancyfilter', 'win.fanny', 'win.grok', 'win.mistyveal', 'win.oddjob', 'win.peddlecheap', 'win.tildeb']",[],"['bvp47', 'darkpulsar', 'doublefantasy', 'doublepulsar', 'equationdrug', 'fancyfilter', 'fanny', 'grok', 'mistyveal', 'oddjob', 'peddlecheap', 'tildeb']","['bvp47', 'darkpulsar', 'doublefantasy', 'doublepulsar', 'equationdrug', 'fancyfilter', 'fanny', 'grok', 'mistyveal', 'oddjob', 'peddlecheap', 'tildeb']",[],[],"['bvp47', 'darkpulsar', 'doublefantasy', 'doublepulsar', 'equationdrug', 'fancyfilter', 'fanny', 'grok', 'mistyveal', 'oddjob', 'peddlecheap', 'tildeb']"
G0077,leafminer,['raspite'],raspite,"['leafminer', 'raspite']","['T1003.005', 'T1027.010', 'T1552.001', 'T1555', 'T1555.003', 'T1189', 'T1083', 'T1059.007', 'T1003.004', 'T1003.001', 'T1136.001', 'T1046', 'T1110.003', 'T1055.013', 'T1114.002', 'T1018', 'T1588.002']","['Cached Domain Credentials', 'Command Obfuscation', 'Credentials In Files', 'Credentials from Password Stores', 'Credentials from Web Browsers', 'Drive-by Compromise', 'File and Directory Discovery', 'JavaScript', 'LSA Secrets', 'LSASS Memory', 'Local Account', 'Network Service Discovery', 'Password Spraying', 'Process Doppelgänging', 'Remote Email Collection', 'Remote System Discovery', 'Tool']","['S0349', 'S0413', 'S0002', 'S0029']","['T1003', 'T1018', 'T1027', 'T1046', 'T1055', 'T1059', 'T1083', 'T1110', 'T1114', 'T1136', 'T1189', 'T1552', 'T1555', 'T1588']","['win.imecab', 'win.sorgu']","['lazagne', 'mailsniper', 'mimikatz', 'psexec']","['imecab', 'sorgu']","['S0002', 'S0029', 'S0349', 'S0413', 'imecab', 'sorgu']",[],"['S0002', 'S0029', 'S0349', 'S0413']","['imecab', 'lazagne', 'mailsniper', 'mimikatz', 'psexec', 'sorgu']"
G1028,apt-c-23,"['arid viper', 'big bang apt', 'desert falcon', 'grey karkadann', 'mantis', 'tag-63', 'two-tailed scorpion']",aridviper,"['desert falcon', 'arid viper', 'apt-c-23', 'bearded barbie']","['T1655.001', 'T1660', 'T1422', 'T1402', 'T1508', 'T1433', 'T1476', 'T1517', 'T1513', 'T1544', 'T1432', 'T1444', 'T1418', 'T1426', 'T1533', 'T1412', 'T1575', 'T1447', 'T1532', 'T1429', 'T1420', 'T1438', 'T1437', 'T1512']","['Match Legitimate Name or Location', 'Phishing', 'System Network Configuration Discovery']","['S0339', 'S0505', 'S0577', 'S1126']","['T1402', 'T1412', 'T1418', 'T1420', 'T1426', 'T1429', 'T1432', 'T1433', 'T1437', 'T1438', 'T1444', 'T1447', 'T1476', 'T1508', 'T1512', 'T1513', 'T1517', 'T1532', 'T1533', 'T1544', 'T1575']","['apk.glancelove', 'apk.gnatspy', 'apk.spyc23', 'apk.unidentified_004', 'ios.phenakite', 'win.aridgopher', 'win.aridhelper', 'win.barbie', 'win.barbwire', 'win.micropsia']","['desert scorpion', 'frozencell', 'micropsia', 'phenakite']","['S0339', 'aridgopher', 'aridhelper', 'barbie', 'barbwire', 'glancelove', 'gnatspy', 'ios.phenakite', 'spyc23', 'unidentified']","['S0339', 'S0505', 'S0577', 'S1126', 'aridgopher', 'aridhelper', 'barbie', 'barbwire', 'glancelove', 'gnatspy', 'ios.phenakite', 'spyc23', 'unidentified']",['S0339'],"['S0339', 'S0505', 'S0577', 'S1126']","['aridgopher', 'aridhelper', 'barbie', 'barbwire', 'desert scorpion', 'frozencell', 'glancelove', 'gnatspy', 'ios.phenakite', 'micropsia', 'phenakite', 'spyc23', 'unidentified']"
G1013,metador,[],metador,[],"['T1027.013', 'T1070.004', 'T1105', 'T1588.001', 'T1095', 'T1588.002', 'T1071.001', 'T1059.003', 'T1546.003']","['Encrypted/Encoded File', 'File Deletion', 'Ingress Tool Transfer', 'Malware', 'Non-Application Layer Protocol', 'Tool', 'Web Protocols', 'Windows Command Shell', 'Windows Management Instrumentation Event Subscription']","['S1060', 'S1059']",[],[],"['mafalda', 'metamain']",[],"['S1059', 'S1060']",[],"['S1059', 'S1060']","['mafalda', 'metamain']"
G0061,fin8,['syssphinx'],fin8,"['atk113', 'g0061']","['T1560.001', 'T1573.002', 'T1055.004', 'T1070.001', 'T1588.003', 'T1027.010', 'T1486', 'T1482', 'T1048.003', 'T1068', 'T1070.004', 'T1105', 'T1016.001', 'T1003.001', 'T1204.002', 'T1204.001', 'T1112', 'T1059.001', 'T1074.002', 'T1021.001', 'T1018', 'T1021.002', 'T1053.005', 'T1518.001', 'T1566.001', 'T1566.002', 'T1082', 'T1033', 'T1134.001', 'T1588.002', 'T1078', 'T1071.001', 'T1102', 'T1059.003', 'T1047', 'T1546.003', 'T1003', 'T1055', 'T1016', 'T1049', 'T1546', 'T1069.002', 'T1057', 'T1069', 'T1134.002', 'T1134']","['Archive via Utility', 'Asymmetric Cryptography', 'Asynchronous Procedure Call', 'Clear Windows Event Logs', 'Code Signing Certificates', 'Command Obfuscation', 'Data Encrypted for Impact', 'Domain Trust Discovery', 'Exfiltration Over Unencrypted Non-C2 Protocol', 'Exploitation for Privilege Escalation', 'File Deletion', 'Ingress Tool Transfer', 'Internet Connection Discovery', 'LSASS Memory', 'Malicious File', 'Malicious Link', 'Modify Registry', 'PowerShell', 'Remote Data Staging', 'Remote Desktop Protocol', 'Remote System Discovery', 'SMB/Windows Admin Shares', 'Scheduled Task', 'Security Software Discovery', 'Spearphishing Attachment', 'Spearphishing Link', 'System Information Discovery', 'System Owner/User Discovery', 'Token Impersonation/Theft', 'Tool', 'Valid Accounts', 'Web Protocols', 'Web Service', 'Windows Command Shell', 'Windows Management Instrumentation', 'Windows Management Instrumentation Event Subscription']","['S1081', 'S0357', 'S0039', 'S0359', 'S0196', 'S0197', 'S0097', 'S0029', 'S0481', 'S1085', 'S0105']","['T1001', 'T1003', 'T1003.001', 'T1005', 'T1012', 'T1016', 'T1018', 'T1021', 'T1022', 'T1024', 'T1026', 'T1027', 'T1032', 'T1033', 'T1035', 'T1041', 'T1043', 'T1047', 'T1048', 'T1049', 'T1053', 'T1055', 'T1055.004', 'T1057', 'T1059', 'T1060', 'T1063', 'T1064', 'T1065', 'T1068', 'T1069', 'T1069.002', 'T1070', 'T1071', 'T1074', 'T1077', 'T1078', 'T1082', 'T1086', 'T1094', 'T1102', 'T1105', 'T1107', 'T1112', 'T1124', 'T1129', 'T1132', 'T1134', 'T1134.002', 'T1135', 'T1140', 'T1158', 'T1204', 'T1222', 'T1480', 'T1482', 'T1497', 'T1518', 'T1546', 'T1546.003', 'T1560', 'T1566', 'T1573']","['win.badhatch', 'win.poslurp']","['badhatch', 'dsquery', 'impacket', 'net', 'nltest', 'ping', 'psexec', 'punchbuggy', 'punchtrack', 'ragnar locker', 'sardonic']","['S1081', 'poslurp']","['S0029', 'S0039', 'S0097', 'S0105', 'S0196', 'S0197', 'S0357', 'S0359', 'S0481', 'S1081', 'S1085', 'poslurp']",['S1081'],"['S0029', 'S0039', 'S0097', 'S0105', 'S0196', 'S0197', 'S0357', 'S0359', 'S0481', 'S1081', 'S1085']","['badhatch', 'dsquery', 'impacket', 'net', 'nltest', 'ping', 'poslurp', 'psexec', 'punchbuggy', 'punchtrack', 'ragnar locker', 'sardonic']"
G0062,ta459,[],ta459,['g0062'],"['T1203', 'T1204.002', 'T1059.001', 'T1566.001', 'T1059.005']","['Exploitation for Client Execution', 'Malicious File', 'PowerShell', 'Spearphishing Attachment', 'Visual Basic']","['S0033', 'S0013', 'S0230', 'S0032']","['T1059', 'T1203', 'T1204', 'T1566']",[],"['gh0st rat', 'nettraveler', 'plugx', 'zerot']",[],"['S0013', 'S0032', 'S0033', 'S0230']",[],"['S0013', 'S0032', 'S0033', 'S0230']","['gh0st rat', 'nettraveler', 'plugx', 'zerot']"
G0136,indigozebra,[],indigozebra,[],"['T1583.001', 'T1586.002', 'T1105', 'T1204.002', 'T1566.001', 'T1588.002', 'T1583.006', 'T1518.001', 'T1027', 'T1567.002', 'T1547.001', 'T1132', 'T1102.002', 'T1071.001']","['Domains', 'Email Accounts', 'Ingress Tool Transfer', 'Malicious File', 'Spearphishing Attachment', 'Tool', 'Web Services']","['S0651', 'S0012', 'S0653']","['T1027', 'T1071.001', 'T1102.002', 'T1132', 'T1204.002', 'T1518.001', 'T1547.001', 'T1566.001', 'T1567.002']",[],"['boxcaon', 'poisonivy', 'xcaon']",[],"['S0012', 'S0651', 'S0653']",[],"['S0012', 'S0651', 'S0653']","['boxcaon', 'poisonivy', 'xcaon']"
G0084,gallmaker,[],gallmaker,[],"['T1560.001', 'T1559.002', 'T1204.002', 'T1027', 'T1059.001', 'T1566.001']","['Archive via Utility', 'Dynamic Data Exchange', 'Malicious File', 'Obfuscated Files or Information', 'PowerShell', 'Spearphishing Attachment']",[],[],[],[],[],[],[],[],[]
G0134,transparent tribe,"['apt36', 'copper fieldstone', 'mythic leopard', 'projectm']",operation c-major,"['c-major', 'transparent tribe', 'mythic leopard', 'projectm', 'apt36', 'apt 36', 'tmp lapis', 'green havildar', 'copper fieldstone', 'earth karkaddan', 'storm-0156']","['T1583.001', 'T1584.001', 'T1189', 'T1608.004', 'T1568', 'T1027.013', 'T1203', 'T1564.001', 'T1204.002', 'T1204.001', 'T1036.005', 'T1566.001', 'T1566.002', 'T1059.005']","['Domains', 'Drive-by Compromise', 'Drive-by Target', 'Dynamic Resolution', 'Encrypted/Encoded File', 'Exploitation for Client Execution', 'Hidden Files and Directories', 'Malicious File', 'Malicious Link', 'Match Legitimate Name or Location', 'Spearphishing Attachment', 'Spearphishing Link', 'Visual Basic']","['S0115', 'S0334', 'S0644', 'S0643', 'S0385']","['T1012', 'T1027.001', 'T1036', 'T1060', 'T1095', 'T1113', 'T1119', 'T1140', 'T1204', 'T1218.002', 'T1398', 'T1420', 'T1422', 'T1424', 'T1426', 'T1429', 'T1430', 'T1509', 'T1512', 'T1513', 'T1517', 'T1533', 'T1564.001', 'T1567.002', 'T1582', 'T1616', 'T1624.001', 'T1636.002', 'T1636.003', 'T1636.004']","['apk.capra_rat', 'apk.stealthmango', 'win.andromeda', 'win.beendoor', 'win.bezigate', 'win.bozok', 'win.breach_rat', 'win.crimson', 'win.darkcomet', 'win.eliza_rat', 'win.limepad', 'win.luminosity_rat', 'win.njrat', 'win.peppy_rat', 'win.unidentified_066']","['crimson', 'darkcomet', 'nj rat', 'oblique rat', 'peppy']","['S0115', 'S0334', 'S0385', 'andromeda', 'beendoor', 'bezigate', 'bozok', 'breach rat', 'capra rat', 'eliza rat', 'limepad', 'luminosity rat', 'peppy rat', 'stealthmango', 'unidentified']","['S0115', 'S0334', 'S0385', 'S0643', 'S0644', 'andromeda', 'beendoor', 'bezigate', 'bozok', 'breach rat', 'capra rat', 'eliza rat', 'limepad', 'luminosity rat', 'peppy rat', 'stealthmango', 'unidentified']","['S0115', 'S0334', 'S0385']","['S0115', 'S0334', 'S0385', 'S0643', 'S0644']","['andromeda', 'beendoor', 'bezigate', 'bozok', 'breach rat', 'capra rat', 'crimson', 'darkcomet', 'eliza rat', 'limepad', 'luminosity rat', 'nj rat', 'oblique rat', 'peppy', 'peppy rat', 'stealthmango', 'unidentified']"
G0115,gold southfield,['pinchy spider'],gold southfield,[],"['T1027.010', 'T1195.002', 'T1190', 'T1133', 'T1566', 'T1059.001', 'T1219', 'T1113', 'T1199', 'T1036', 'T1566.002', 'T1204.002', 'T1204', 'T1566.001']","['Command Obfuscation', 'Compromise Software Supply Chain', 'Exploit Public-Facing Application', 'External Remote Services', 'Phishing', 'PowerShell', 'Remote Access Software', 'Screen Capture', 'Trusted Relationship']","['S0591', 'S0496']","['T1007', 'T1012', 'T1027', 'T1036', 'T1036.005', 'T1041', 'T1047', 'T1055', 'T1059.001', 'T1059.003', 'T1059.005', 'T1069.002', 'T1070', 'T1070.004', 'T1071.001', 'T1082', 'T1083', 'T1098', 'T1099', 'T1105', 'T1106', 'T1112', 'T1134', 'T1134.001', 'T1134.002', 'T1135', 'T1140', 'T1189', 'T1190', 'T1195.002', 'T1204', 'T1204.002', 'T1218.003', 'T1485', 'T1486', 'T1489', 'T1490', 'T1491', 'T1543', 'T1547', 'T1547.001', 'T1548', 'T1553.002', 'T1562.001', 'T1562.004', 'T1562.009', 'T1566.001', 'T1573.002', 'T1574.002', 'T1614.001']","['win.gandcrab', 'win.revil']","['connectwise', 'revil']","['S0496', 'gandcrab']","['S0496', 'S0591', 'gandcrab']",['S0496'],"['S0496', 'S0591']","['connectwise', 'gandcrab', 'revil']"
G0092,ta505,"['chimborazo', 'hive0065', 'spandex tempest']",fin11,"['warlock', 'unc902', 'lace tempest', 'dev-0950', 'ta505']","['T1553.002', 'T1027.010', 'T1552.001', 'T1555.003', 'T1486', 'T1140', 'T1562.001', 'T1078.002', 'T1583.001', 'T1559.002', 'T1055.001', 'T1087.003', 'T1027.013', 'T1568.001', 'T1105', 'T1059.007', 'T1204.002', 'T1204.001', 'T1588.001', 'T1553.005', 'T1112', 'T1218.007', 'T1106', 'T1069', 'T1059.001', 'T1218.011', 'T1027.002', 'T1566.001', 'T1566.002', 'T1588.002', 'T1608.001', 'T1059.005', 'T1071.001', 'T1059.003', 'T1490', 'T1083', 'T1190', 'T1041', 'T1057', 'T1138', 'T1060', 'T1489']","['Code Signing', 'Command Obfuscation', 'Credentials In Files', 'Credentials from Web Browsers', 'Data Encrypted for Impact', 'Deobfuscate/Decode Files or Information', 'Disable or Modify Tools', 'Domain Accounts', 'Domains', 'Dynamic Data Exchange', 'Dynamic-link Library Injection', 'Email Account', 'Encrypted/Encoded File', 'Fast Flux DNS', 'Ingress Tool Transfer', 'JavaScript', 'Malicious File', 'Malicious Link', 'Malware', 'Mark-of-the-Web Bypass', 'Modify Registry', 'Msiexec', 'Native API', 'Permission Groups Discovery', 'PowerShell', 'Rundll32', 'Software Packing', 'Spearphishing Attachment', 'Spearphishing Link', 'Tool', 'Upload Malware', 'Visual Basic', 'Web Protocols', 'Windows Command Shell']","['S0552', 'S1025', 'S0344', 'S0521', 'S0611', 'S0154', 'S0384', 'S0381', 'S0383', 'S0460', 'S0002', 'S0039', 'S0194', 'S0461', 'S0382', 'S0266']","['T1001', 'T1002', 'T1003', 'T1003.006', 'T1004', 'T1005', 'T1012', 'T1015', 'T1016', 'T1018', 'T1021', 'T1021.002', 'T1022', 'T1027', 'T1032', 'T1033', 'T1035', 'T1036.001', 'T1041', 'T1043', 'T1045', 'T1046', 'T1047', 'T1048', 'T1050', 'T1053', 'T1053.005', 'T1055', 'T1055.001', 'T1055.012', 'T1057', 'T1059', 'T1059.001', 'T1059.003', 'T1060', 'T1063', 'T1064', 'T1065', 'T1068', 'T1069', 'T1069.002', 'T1070', 'T1070.001', 'T1070.004', 'T1071', 'T1071.001', 'T1076', 'T1078', 'T1078.002', 'T1082', 'T1083', 'T1085', 'T1086', 'T1090', 'T1094', 'T1095', 'T1105', 'T1106', 'T1107', 'T1108', 'T1112', 'T1113', 'T1116', 'T1119', 'T1120', 'T1124', 'T1125', 'T1129', 'T1133', 'T1134.001', 'T1138', 'T1140', 'T1165', 'T1189', 'T1190', 'T1192', 'T1193', 'T1202', 'T1203', 'T1204', 'T1219', 'T1406', 'T1480', 'T1484.001', 'T1485', 'T1486', 'T1488', 'T1489', 'T1490', 'T1497', 'T1505.003', 'T1518', 'T1529', 'T1543', 'T1543.003', 'T1546.011', 'T1547', 'T1547.004', 'T1548.002', 'T1552', 'T1553.002', 'T1555', 'T1558', 'T1560', 'T1562', 'T1562.001', 'T1563', 'T1566', 'T1566.001', 'T1567', 'T1567.002', 'T1569', 'T1570', 'T1573', 'T1574', 'T1574.002', 'T9000']","['win.andromut', 'win.clop', 'win.dridex', 'win.flawedammyy', 'win.flawedgrace', 'win.get2', 'win.locky', 'win.mirrorblast', 'win.rms', 'win.sdbbot', 'win.servhelper', 'win.silence', 'win.teleport', 'win.tinymet', 'win.trickbot']","['adfind', 'amadey', 'azorult', 'bloodhound', 'clop', 'cobalt strike', 'dridex', 'flawedammyy', 'flawedgrace', 'get2', 'mimikatz', 'net', 'powersploit', 'sdbbot', 'servhelper', 'trickbot']","['S0266', 'S0381', 'S0382', 'S0383', 'S0384', 'S0460', 'S0461', 'S0611', 'andromut', 'locky', 'mirrorblast', 'rms', 'silence', 'teleport', 'tinymet']","['S0002', 'S0039', 'S0154', 'S0194', 'S0266', 'S0344', 'S0381', 'S0382', 'S0383', 'S0384', 'S0460', 'S0461', 'S0521', 'S0552', 'S0611', 'S1025', 'andromut', 'locky', 'mirrorblast', 'rms', 'silence', 'teleport', 'tinymet']","['S0266', 'S0381', 'S0382', 'S0383', 'S0384', 'S0460', 'S0461', 'S0611']","['S0002', 'S0039', 'S0154', 'S0194', 'S0266', 'S0344', 'S0381', 'S0382', 'S0383', 'S0384', 'S0460', 'S0461', 'S0521', 'S0552', 'S0611', 'S1025']","['adfind', 'amadey', 'andromut', 'azorult', 'bloodhound', 'clop', 'cobalt strike', 'dridex', 'flawedammyy', 'flawedgrace', 'get2', 'locky', 'mimikatz', 'mirrorblast', 'net', 'powersploit', 'rms', 'sdbbot', 'servhelper', 'silence', 'teleport', 'tinymet', 'trickbot']"
